"Info","Profit","ID","Open time","Open Price","Close Time","Close Price","Type","Amount","Income"
"USD/BDT (OTC)","93%","f7d267fd-c1b9-421b-aaec-d55f6ef39d11","2025-06-21 14:47:01","124.359","2025-06-21 14:48:00","124.386","Down","15","0"
"USD/BDT (OTC)","93%","c920ce73-262b-4c81-8984-8b16938b597a","2025-06-21 14:46:28","124.376","2025-06-21 14:47:00","124.361","Up","5","0"
"USD/BRL (OTC)","93%","042f126d-80a9-48e1-b5bf-4724d6e3be08","2025-06-21 14:43:59","0.18253","2025-06-21 14:45:00","0.18245","Up","16","0"
"USD/BRL (OTC)","93%","7fdb6170-2b7c-4159-bf11-17fbf184f6d7","2025-06-21 14:42:59","0.18261","2025-06-21 14:44:00","0.18257","Up","8","0"
"USD/BDT (OTC)","93%","0912d70c-7571-40c2-91fa-11c5544c0a31","2025-06-21 14:40:01","124.32","2025-06-21 14:41:00","124.274","Up","4","0"
"USD/BDT (OTC)","93%","cfbe39bc-b2f7-4519-aa44-62fe59f423ec","2025-06-21 14:39:01","124.329","2025-06-21 14:40:00","124.314","Up","1","0"
"USD/BDT (OTC)","93%","edfeea42-0852-43ce-be1e-e0a49c5cad74","2025-06-21 14:37:12","124.297","2025-06-21 14:38:00","124.287","Up","1","0"
"USD/BRL (OTC)","93%","78a62e52-f70b-4f4e-843e-15327853cf1e","2025-06-21 14:17:07","0.18063","2025-06-21 14:18:00","0.18078","Up","1","1.93"
"USD/BRL (OTC)","93%","e13fd489-861e-4c34-b712-ca439ad43411","2025-06-21 13:34:01","0.18363","2025-06-21 13:35:00","0.18315","Down","16","30.88"
"USD/IDR (OTC)","91%","0c924639-1bac-4bbc-883d-c97a3f9e2a1e","2025-06-21 13:32:30","16344.66","2025-06-21 13:33:00","16343.9","Up","8","0"
"USD/IDR (OTC)","90%","e4870c6f-713f-4b62-9320-952d20d292c4","2025-06-21 13:29:12","16343.08","2025-06-21 13:30:00","16344.23","Down","4","0"
"USD/BRL (OTC)","93%","75528bf9-16a3-40ef-ae1a-1dab8334e29d","2025-06-21 13:25:59","0.185","2025-06-21 13:27:00","0.18479","Up","2","0"
"USD/BRL (OTC)","93%","8df6b0b7-1738-48db-a5f4-a0d088cae2f6","2025-06-21 13:25:00","0.18519","2025-06-21 13:26:00","0.185","Up","1","0"
"USD/BDT (OTC)","92%","e7a999d4-1ce1-41bd-a5ba-dfc2426ccbcb","2025-06-21 13:23:02","124.807","2025-06-21 13:24:00","124.812","Up","1","1.92"
"USD/BDT (OTC)","93%","78c9cc88-a6c5-4940-b1e4-f6011b063ea3","2025-06-21 13:05:02","124.663","2025-06-21 13:06:00","124.716","Up","1","1.93"
"GBP/USD (OTC)","88%","8b3ff58f-571e-4f72-8e2e-74f6bfb678fd","2025-06-21 12:58:07","1.34738","2025-06-21 12:59:00","1.34736","Down","16","30.08"
"USD/INR (OTC)","93%","8593450f-50d3-45c9-8218-02812b2b5510","2025-06-21 12:56:22","91.3212","2025-06-21 12:57:00","91.3142","Up","8","0"
"USD/BDT (OTC)","93%","1b3a4f8e-723a-492b-9231-a9e492404ef5","2025-06-21 12:55:01","124.484","2025-06-21 12:56:00","124.494","Down","4","0"
"USD/JPY (OTC)","92%","e7269cd8-acd4-4292-b653-098ea2621da7","2025-06-21 12:41:39","146.149","2025-06-21 12:43:00","146.135","Up","1","0"
"USD/JPY (OTC)","92%","93719f6d-e83d-44dd-9f48-bbdcbda82344","2025-06-21 12:41:02","146.177","2025-06-21 12:42:00","146.169","Up","1","0"
"USD/BDT (OTC)","93%","b1b2a890-6922-41d8-9f54-6cb9df3b56b8","2025-06-21 12:31:25","124.445","2025-06-21 12:32:00","124.452","Up","1","1.93"
"USD/DZD (OTC)","90%","8eef29c0-e5cd-4132-9939-10d6fdf42e2e","2025-06-21 12:14:08","129.672","2025-06-21 12:15:00","129.676","Up","1","1.9"
"EUR/CAD (OTC)","92%","35337f41-6a0d-46fb-8f52-5a424ace302d","2025-06-21 12:09:00","1.54839","2025-06-21 12:10:00","1.54812","Down","4","7.68"
"EUR/CAD (OTC)","92%","f8d95867-73ea-4ebb-b96e-024a8f42f9dc","2025-06-21 12:05:01","1.54941","2025-06-21 12:06:00","1.54952","Down","2","0"
"AUD/JPY (OTC)","93%","c44f7722-0a94-456a-a745-ce4880f12be9","2025-06-21 11:55:58","95.407","2025-06-21 11:57:00","95.334","Down","5","9.65"
"AUD/JPY (OTC)","93%","545166f7-7160-4ae2-9af0-8f9ef7834bec","2025-06-21 11:55:20","95.387","2025-06-21 11:56:00","95.403","Down","1","0"
"AUD/JPY (OTC)","93%","cad3bfc0-4a27-4bfb-8db5-94038f8c6782","2025-06-21 11:55:01","95.378","2025-06-21 11:56:00","95.403","Down","1","0"
"USD/BRL (OTC)","90%","c6045599-9934-4105-9b37-540e42e7d171","2025-06-21 11:48:01","0.18245","2025-06-21 11:49:00","0.18307","Up","1","1.9"
"USD/JPY (OTC)","80%","223bf8a4-d5e6-4b84-801e-820c888621a3","2025-06-21 11:44:59","146.309","2025-06-21 11:46:00","146.315","Up","1","1.8"
"AUD/JPY (OTC)","89%","946598d7-cf8e-4652-a0ca-a375a4515ea4","2025-06-21 10:09:59","95.889","2025-06-21 10:11:00","95.833","Down","2","3.78"
"USD/BRL (OTC)","87%","2c1aaa8e-69d3-4f20-bd8c-ebb3a07ca7eb","2025-06-21 09:05:01","0.18013","2025-06-21 09:06:00","0.17993","Up","2","0"
"USD/BRL (OTC)","90%","42e13477-60c7-489b-98b9-df145a80a404","2025-06-21 09:04:00","0.18028","2025-06-21 09:05:00","0.18011","Up","20","0"
"NZD/CAD (OTC)","93%","b5e44cf1-4e54-42a6-b7cf-d6b2956acebb","2025-06-21 09:02:00","0.82325","2025-06-21 09:03:00","0.82349","Down","4","0"
"CAD/CHF (OTC)","90%","4e1b1cde-0087-4b4c-96c8-6fb5d1d01d4a","2025-06-21 08:59:00","0.57821","2025-06-21 09:00:00","0.578","Up","4","0"
"AUD/USD (OTC)","93%","ef232f6e-70de-4ce0-98e0-7d90b8c8c5e7","2025-06-21 08:55:00","0.64866","2025-06-21 08:56:00","0.64895","Down","2","0"
"USD/INR (OTC)","93%","f8cda88b-bbbd-44fb-98df-240572321d43","2025-06-20 17:12:19","91.287","2025-06-20 17:13:00","91.2788","Down","1","1.93"
"USD/BRL (OTC)","93%","f6a7a442-2861-4190-8b28-28204a1549ad","2025-06-20 17:05:21","0.17525","2025-06-20 17:06:00","0.17551","Up","1","1.93"
"USD/INR (OTC)","87%","f7009fb2-a29a-481a-a109-6e86f4ebd30d","2025-06-20 17:01:00","91.2709","2025-06-20 17:02:00","91.2683","Down","1","1.87"
"USD/INR (OTC)","93%","bbcaceca-b313-401f-93b2-6cd4a1332ab5","2025-06-20 16:56:01","91.2728","2025-06-20 16:57:00","91.277","Up","1","1.93"
"USD/INR (OTC)","93%","57375f6f-ad68-4086-a6a4-09cdd2313d88","2025-06-20 16:53:08","91.2642","2025-06-20 16:54:00","91.2614","Down","1","1.93"
"USD/TRY (OTC)","83%","fcb311db-656e-40dd-9f1a-c9e5fc544802","2025-06-20 16:49:00","39.7619","2025-06-20 16:50:00","39.761","Down","2","3.66"
"USD/BRL (OTC)","93%","525c72ae-36a5-4bf0-a0f9-34ede7e8adb2","2025-06-20 16:41:59","0.17322","2025-06-20 16:43:00","0.17335","Down","1","0"
"NZD/CAD (OTC)","93%","f0a71419-67e4-415a-8da1-285ad2f448a2","2025-06-20 16:38:00","0.82341","2025-06-20 16:39:00","0.82322","Down","1","1.93"
"NZD/CAD (OTC)","93%","90ae636b-da92-4d89-8d31-9ad7b66a42c8","2025-06-20 16:15:14","0.82488","2025-06-20 16:16:00","0.8253","Up","1","1.93"
"USD/PHP (OTC)","90%","35c9859e-5663-4183-9ff0-1f5a3db26e22","2025-06-20 16:13:02","57.023","2025-06-20 16:14:00","57.006","Down","2","3.8"
"USD/PHP (OTC)","90%","7b075ecc-f0bb-4f21-bf17-cc8153dcecda","2025-06-20 16:13:02","57.023","2025-06-20 16:14:00","57.006","Down","2","3.8"
"USD/PHP (OTC)","90%","bf6d6a32-4967-4a90-b86c-9a2b70d436fd","2025-06-20 16:12:00","57.014","2025-06-20 16:13:00","57.02","Down","2","0"
"USD/ZAR (OTC)","90%","915f935d-7f7f-4636-b061-f0c4692431ea","2025-06-20 16:02:01","14.85314","2025-06-20 16:03:00","14.85269","Up","4","0"
"USD/IDR (OTC)","92%","5134454e-f616-42f0-9254-2ee08c65386d","2025-06-20 16:00:00","16352.37","2025-06-20 16:01:00","16352.23","Up","1","0"
"USD/BDT (OTC)","92%","33e6b49e-74ad-451e-9b03-faf7a8870988","2025-06-20 15:54:00","124.175","2025-06-20 15:55:00","124.231","Up","2","3.84"
"USD/BDT (OTC)","93%","43c13805-75bd-416d-8644-b09ff10074bd","2025-06-20 15:53:02","124.183","2025-06-20 15:54:00","124.175","Up","1","0"
"USD/BDT (OTC)","92%","a31775d6-86a2-4dbc-8b73-bdedcdb102fc","2025-06-20 15:49:59","124.182","2025-06-20 15:51:00","124.126","Down","1","1.92"
"USD/PHP (OTC)","86%","b091b90d-590e-42dc-ab09-b73b23b6d5a4","2025-06-20 15:48:03","56.98","2025-06-20 15:49:00","56.948","Down","1","1.86"
"USD/INR (OTC)","93%","0d87fb02-fd46-45c6-8716-fe8d1ea88fdc","2025-06-20 15:43:00","91.2439","2025-06-20 15:44:00","91.25","Up","1","1.93"
"USD/TRY (OTC)","91%","cdc1d4c6-74d6-483b-b4a8-60ffa268aada","2025-06-20 15:37:00","39.7053","2025-06-20 15:38:00","39.7052","Down","4","7.64"
"USD/PHP (OTC)","86%","ed1dfaa2-a29d-499a-842e-72ec46927bee","2025-06-20 15:30:01","56.992","2025-06-20 15:31:00","56.991","Up","2","0"
"USD/PHP (OTC)","86%","818f01f8-6f5a-42f2-87c2-ed82ffe1ba70","2025-06-20 15:28:59","57","2025-06-20 15:30:00","56.991","Up","1","0"
"USD/TRY (OTC)","92%","eaceb1fb-0fb7-4840-bd17-ee750eea4143","2025-06-20 15:26:18","39.6992","2025-06-20 15:27:00","39.705","Up","1","1.92"
"USD/PHP (OTC)","83%","36c2c427-2f69-4820-a45b-4dd28ef63f60","2025-06-20 15:23:00","56.987","2025-06-20 15:24:00","56.989","Up","1","1.83"
"USD/DZD (OTC)","93%","07a249ef-2a7d-45e5-a8d6-68c41b406027","2025-06-20 09:41:59","129.06","2025-06-20 09:43:00","129.077","Up","4","7.72"
"USD/PHP (OTC)","80%","3a20f380-6c1f-4d6a-a6fd-58cd3d4fe70d","2025-06-20 09:37:01","57.236","2025-06-20 09:38:00","57.263","Down","2","0"
"USD/INR (OTC)","86%","e3b534ae-84cd-4c69-8b34-bb26eff3c4b4","2025-06-20 09:33:00","91.1769","2025-06-20 09:34:00","91.1752","Up","1","0"
"USD/ARS (OTC)","93%","a7ae3d63-51e6-4994-a9f0-4e5a8c289796","2025-06-20 09:23:01","1210.22","2025-06-20 09:24:00","1210.68","Up","2","3.86"
"USD/TRY (OTC)","91%","8ae1b0b4-dcdb-4245-bd73-10af6f5e6c7e","2025-06-20 09:19:01","39.4552","2025-06-20 09:20:00","39.461","Up","4","7.64"
"USD/ARS (OTC)","91%","7212c2f2-ad05-4411-9ffc-240e09e51ba0","2025-06-20 09:16:00","1210.09","2025-06-20 09:17:00","1210.3","Down","2","0"
"USD/TRY (OTC)","91%","1c0cd481-68fc-4597-b3ce-452a755388ed","2025-06-20 09:12:00","39.4423","2025-06-20 09:13:00","39.4407","Down","8","15.28"
"EUR/CAD (OTC)","92%","044e2a81-3db6-4b4e-a977-4cc1c9f111bf","2025-06-20 09:05:00","1.57581","2025-06-20 09:06:00","1.57588","Down","4","0"
"EUR/CAD (OTC)","92%","241c4f47-d2aa-4716-a1e9-24f706adc98a","2025-06-20 09:04:00","1.57552","2025-06-20 09:05:00","1.57581","Down","2","0"
"USD/TRY (OTC)","81%","80da2008-43cb-4ffa-ae7c-1c8c73b78252","2025-06-20 09:03:00","39.4418","2025-06-20 09:04:00","39.4361","Down","4","7.24"
"GBP/CAD (OTC)","90%","71e2b3af-5ff2-4887-8dbd-4498810f147e","2025-06-20 08:54:00","1.82884","2025-06-20 08:55:00","1.82821","Up","2","0"
"USD/PHP (OTC)","80%","1b04d778-8791-4b68-b9d8-1b913864e39e","2025-06-20 08:49:03","57.461","2025-06-20 08:50:00","57.436","Down","2","3.6"
"USD/PHP (OTC)","80%","967811b5-d627-4b30-8cb2-7eca486294e1","2025-06-20 08:37:00","57.621","2025-06-20 08:38:00","57.628","Up","2","3.6"
"USD/TRY (OTC)","80%","1a405534-57e4-4558-b17c-fec33d2e895b","2025-06-20 08:32:03","39.4524","2025-06-20 08:33:00","39.4586","Up","2","3.6"
"USD/DZD (OTC)","81%","1d70f944-f3a0-400a-a688-c1a47a4e38d3","2025-06-20 08:29:00","129.259","2025-06-20 08:30:00","129.245","Down","8","14.48"
"USD/DZD (OTC)","82%","aeb5d95c-8521-480b-a982-817033aff3e2","2025-06-20 08:28:00","129.249","2025-06-20 08:29:00","129.259","Down","4","0"
"USD/DZD (OTC)","93%","abca31a7-7e6c-4323-a258-51fdba92c906","2025-06-20 08:19:03","129.375","2025-06-20 08:20:00","129.38","Down","2","0"
"USD/DZD (OTC)","92%","e3eea154-51c3-4bed-92fe-d70baf09a10e","2025-06-20 08:18:00","129.376","2025-06-20 08:19:00","129.377","Down","1","0"
"USD/BRL (OTC)","93%","be980f8a-40fd-49b1-866c-cb4746d4a76b","2025-06-19 23:04:00","0.17955","2025-06-19 23:05:00","0.1796","Up","5","9.65"
"USD/BRL (OTC)","93%","7558a2e6-5f2c-441e-90e1-f234ebadef31","2025-06-19 23:01:01","0.18003","2025-06-19 23:02:00","0.17954","Up","2","0"
"USD/ARS (OTC)","93%","45dd898d-4c9c-42a2-af53-f226a9f8cee2","2025-06-19 22:53:00","1217.14","2025-06-19 22:54:00","1217.29","Down","1","0"
"NZD/CAD (OTC)","87%","d75f954e-9baf-4a09-93ff-cb9a2b44b60e","2025-06-19 17:58:01","0.85805","2025-06-19 17:59:00","0.85846","Up","1","1.87"
"USD/ARS (OTC)","91%","0fe1e865-8e1e-46e4-b552-71079c95004c","2025-06-19 17:49:59","1211.72","2025-06-19 17:51:00","1211.54","Down","2","3.82"
"USD/ARS (OTC)","91%","bcaa8992-fbf0-4294-b2a2-7b03a40e2fa1","2025-06-19 17:49:09","1211.6","2025-06-19 17:50:00","1211.67","Down","1","0"
"USD/INR (OTC)","90%","4a0491c4-3d3e-45df-a740-e38effe95856","2025-06-19 17:15:01","91.0268","2025-06-19 17:16:00","91.0299","Up","8","15.2"
"USD/ARS (OTC)","93%","90f7d320-fba4-46f3-bb74-9a2384294e68","2025-06-19 17:07:00","1209.44","2025-06-19 17:08:00","1209.27","Up","4","0"
"USD/ARS (OTC)","93%","c7257540-6cbe-4579-85f2-a7b7b16b5196","2025-06-19 17:06:23","1209.52","2025-06-19 17:07:00","1209.44","Up","2","0"
"USD/BRL (OTC)","93%","4c012a76-7bec-43f6-8a99-5153594a4692","2025-06-19 17:04:04","0.14915","2025-06-19 17:05:00","0.14889","Up","1","0"
"USD/ARS (OTC)","93%","074a8edc-1014-4d33-8355-d73e336c743c","2025-06-19 16:06:01","1207.61","2025-06-19 16:07:00","1207.88","Up","2","3.86"
"USD/TRY (OTC)","92%","637e297c-dca8-48e8-a719-35499c4efa4a","2025-06-19 15:52:00","39.5659","2025-06-19 15:53:00","39.5572","Up","1","0"
"USD/BRL (OTC)","92%","13ca9bad-2908-42f7-b75c-ca01b65e04cb","2025-06-19 15:49:01","0.14699","2025-06-19 15:50:00","0.14714","Up","1","1.92"
"USD/BRL (OTC)","92%","81ea6fcc-0e56-493f-a8ed-f4deb1cc715d","2025-06-19 15:48:06","0.14719","2025-06-19 15:49:00","0.14707","Up","2","0"
"USD/INR (OTC)","93%","41b7ac7e-e6b0-4b12-833b-b0ba4a11e75d","2025-06-19 15:33:00","91.0575","2025-06-19 15:34:00","91.0567","Down","2","3.86"
"USD/BRL (OTC)","93%","6b690d17-1f92-4a44-802c-c2609db0d082","2025-06-19 15:23:00","0.14687","2025-06-19 15:24:00","0.14657","Up","1","0"
"USD/ARS (OTC)","93%","24c2a998-9f7d-4ba2-890e-a25b78cddda6","2025-06-19 15:20:01","1208.12","2025-06-19 15:21:00","1208.11","Down","2","3.86"
"USD/ARS (OTC)","93%","1632b98f-8545-4e5e-958b-b1898c6e1d74","2025-06-19 15:19:00","1208.44","2025-06-19 15:20:00","1208.1","Up","1","0"
"USD/TRY (OTC)","88%","36c396a0-bd83-4601-ba18-9b64e138a9a9","2025-06-19 15:11:01","39.5622","2025-06-19 15:12:00","39.5575","Down","2","3.76"
"USD/BRL (OTC)","93%","2a94a870-c4b3-453e-b5d0-8ea7636915fb","2025-06-19 15:08:03","0.1469","2025-06-19 15:09:00","0.14674","Up","1","0"
"USD/PHP (OTC)","91%","259490f3-254d-4f35-8f58-2c6ca54e1621","2025-06-19 15:04:00","58.512","2025-06-19 15:05:00","58.493","Down","1","1.91"
"USD/TRY (OTC)","92%","4e17ff46-115b-4cff-a97d-e9068fea46eb","2025-06-18 20:15:01","39.497","2025-06-18 20:16:00","39.4897","Down","2","3.84"
"USD/PKR (OTC)","93%","d6a92f72-ec6d-430c-abb3-ad63cbd29232","2025-06-18 20:10:00","295.388","2025-06-18 20:11:00","295.354","Up","1","0"
"USD/EGP (OTC)","93%","84c04204-a614-4a85-8468-b18754fe893d","2025-06-18 20:08:00","50.979","2025-06-18 20:09:00","50.9774","Down","1","1.93"
"USD/PKR (OTC)","93%","766f454a-6b29-40a2-b401-83f2e3f43ab6","2025-06-18 19:58:01","295.206","2025-06-18 19:59:00","295.214","Up","2","3.86"
"GBP/CHF","77%","779f17ba-0a65-4dc4-9e81-ab4c7b67866b","2025-06-18 19:48:02","1.10036","2025-06-18 19:49:00","1.09999","Down","1","1.77"
"NZD/JPY (OTC)","85%","750819d2-d097-4328-93bb-ccbeae24a74f","2025-06-18 18:43:00","89.659","2025-06-18 18:44:00","89.717","Up","2","3.7"
"USD/COP (OTC)","90%","759182ca-9675-4be6-a72a-4f55d18f0e1b","2025-06-18 18:25:00","4126.86","2025-06-18 18:26:00","4126.78","Up","1","0"
"USD/BRL (OTC)","91%","081bb0ed-f033-48a3-a934-b55e6209c11d","2025-06-17 21:30:00","0.17166","2025-06-17 21:31:00","0.17109","Down","2","3.82"
"USD/BRL (OTC)","91%","7b0b52c1-7659-483c-b243-c7b70d2be369","2025-06-17 21:29:00","0.17159","2025-06-17 21:30:00","0.17166","Down","1","0"
"USD/PKR (OTC)","93%","a2a9c778-1a59-47c4-9bd3-4391926abf18","2025-06-17 14:59:00","294.328","2025-06-17 15:00:00","294.308","Up","2","0"
"USD/IDR (OTC)","86%","d1a222d1-ec0f-41a8-8e87-325cab0c41ec","2025-06-17 14:48:00","16263.73","2025-06-17 14:49:00","16263.74","Down","1","0"
"USD/TRY (OTC)","92%","39c9fb77-9b60-48ef-9800-2719ca6d044a","2025-06-17 14:39:01","39.0555","2025-06-17 14:40:00","39.0528","Down","1","1.92"
"EUR/JPY","90%","a1896931-44d1-40f2-8880-fa4d66ab12b1","2025-06-16 18:29:17","166.774","2025-06-16 18:31:00","166.79","Up","2","3.8"
